1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17
18 19 20 21 22 23 12 20 24 25 26 27 28 9  29 6  30
31 32 3  33 17 34 35 16 7  36 24 5  18 37 12 2  38
17 39 39 4  10 29 40 25 1  28 20 41 22 3  7  30 42
12 43 33 20 44 26 37 1  16 45 16 20 9  34 17 30 29
32 46 5  22 47 48 3  45 49 50 11 16 51 52 2  8  26
53 24 54 12 55 23 33 39 16 56 7  4  18 17 20 12 16
32 40 10 1  37 30 16 34 5  33 19 2  27 4  29 4  10
51 18 14 7  20 25 46 37 39 57 39 58 30 32 59 33 41
54 1  2  44 39 31 38 14 55 43 30 17 29 12 6  3  52
17 20 4  37 29 45 12 20 42 2  22 3  4  27 23 57 10
15 9  51 37 55 32 35 24 40 2  25 2  7  57 33 18 10
17 32 46 12 20 14 60 27 36 12 1  28 42 29 30 52 3
7  37 33 56 34 2  61 13 11 4  12 47 36 62 39 20 9
44 8  5  32 44 10 20 1  24 45 17 37 2  38 8  4  8
29 46 3  18 32 55 31 16 22 4  7  37 30 12 18 23 32
9  18 2  42 16 49 11 35 14 17 56 63 48 20 36 8  4
21 43 29 14 40 10 33 1  24 44 37 52 34 12 30 57 33
38 3  45 5  1  11 61 25 7  23 50 28 22 58 32 35 20
2  60 22 18 17 55 4  61 29 57 19 16 14 30 10 14 12
