1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17
18 19 10 20 8  20 5  21 22 23 24 25 26 27 28 29 23
30 6  31 3  32 11 16 13 33 23 34 23 35 36 29 1  17
37 5  29 18 38 39 2  40 41 42 3  31 43 44 7  45 46
12 35 41 3  14 47 10 35 29 48 15 21 13 29 28 1  29
12 49 50 31 36 32 41 51 10 9  19 6  29 12 34 32 10
20 8  52 17 22 53 51 54 21 44 13 18 29 29 46 12 10
55 2  41 28 25 14 41 36 3  35 38 42 46 22 7  56 32
1  57 5  58 59 16 6  26 40 32 13 29 17 29 15 9  60
12 46 46 25 35 21 39 34 44 19 8  24 46 9  25 51 7
17 55 28 2  27 29 59 29 29 44 47 46 61 10 34 42 62
39 9  4  8  57 49 22 14 17 54 8  43 21 26 15 13 28
29 19 57 44 16 35 55 33 7  32 61 62 36 4  31 12 30
14 53 5  6  18 33 29 44 51 46 36 10 46 13 24 13 38
29 26 46 59 41 3  5  10 44 17 21 1  34 46 55 42 9
49 56 29 25 52 20 6  28 54 27 34 46 40 2  16 31 22
37 36 60 8  4  56 61 10 9  1  20 32 23 50 1  23 19
33 38 23 23 49 41 23 4  39 17 14 35 31 21 18 23 40
13 25 62 2  23 54 41 40 26 16 29 33 45 39 60 7  54
7  29 2  15 54 37 58 59 43 23 23 23 23 23 23 33 39
