1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17
12 18 19 20 15 21 22 23 24 25 1  26 27 10 17 28 25
29 7  30 4  31 32 33 34 35 20 36 13 20 37 38 39 6
40 2  27 41 12 7  11 5  12 33 9  14 41 42 43 40 25
23 15 8  44 45 41 36 16 40 46 47 48 49 1  4  17 18
24 19 50 21 51 7  52 37 28 6  44 27 34 53 54 41 20
33 55 54 7  50 7  14 13 38 2  7  56 53 9  23 57 58
35 5  52 30 59 39 8  60 20 24 2  42 7  61 11 14 48
21 2  40 7  11 44 15 27 23 2  28 32 29 53 38 49 16
37 31 7  39 44 14 54 28 6  25 13 37 55 15 14 18 32
19 41 57 56 8  62 7  26 27 10 37 49 32 33 35 40 7
7  12 24 27 6  63 20 47 14 57 49 25 30 2  3  6  38
48 35 27 7  15 43 53 13 37 49 25 15 23 37 16 32 42
38 34 7  45 20 63 52 53 58 25 54 4  30 55 42 56 16
59 28 60 61 17 7  21 7  3  20 42 35 7  26 6  12 5
61 9  14 7  8  24 20 51 43 19 4  30 4  25 27 39 63
63 15 15 36 56 21 62 34 55 14 16 42 35 7  18 20 7
44 50 28 25 15 40 41 30 2  38 5  1  38 21 34 7  37
44 32 55 19 41 36 7  57 59 41 11 56 14 20 60 62 32
7  22 27 25 3  23 61 36 28 43 43 1  30 60 40 61 38
