1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17
3  18 19 1  20 21 4  22 12 23 24 25 26 19 27 28 7
29 30 31 32 33 34 35 36 29 37 21 13 26 38 39 14 40
41 17 33 21 42 43 3  29 15 44 2  5  45 7  46 47 4
5  30 48 21 49 19 12 39 14 36 50 45 22 6  28 40 17
4  51 39 16 37 33 39 38 5  21 5  27 52 23 21 37 52
26 8  10 31 43 53 30 54 55 20 9  51 56 32 5  39 57
25 2  4  18 29 48 21 32 35 51 19 24 36 6  58 45 38
10 10 59 39 12 16 14 56 27 48 9  50 11 17 48 42 34
5  8  54 23 21 10 34 30 23 3  60 13 48 28 34 7  61
58 56 57 4  20 55 38 34 25 39 58 12 51 1  62 10 51
14 49 11 46 15 38 16 17 52 31 22 63 17 48 4  54 59
54 23 37 64 4  24 47 58 63 45 57 20 28 54 41 35 32
26 29 14 56 45 14 57 14 25 60 38 27 4  45 11 19 25
31 12 57 30 36 10 11 47 52 14 17 3  46 1  34 31 13
43 39 22 46 16 62 27 50 23 48 63 4  3  6  26 25 44
46 29 33 21 31 2  28 45 35 8  36 56 21 59 54 5  35
51 14 50 19 13 18 60 49 24 15 22 35 52 38 6  53 64
7  57 47 26 39 32 65 28 17 5  9  11 18 63 13 29 7
37 16 41 23 61 10 55 19 13 12 22 57 7  36 35 4  12
