1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17
18 19 20 21 22 22 23 24 7  20 18 10 5  25 14 26 27
1  9  28 4  29 30 20 4  31 32 13 32 33 34 35 25 36
12 37 19 10 5  10 38 39 7  2  34 40 32 41 10 10 42
5  43 39 44 35 45 46 35 47 11 2  20 34 28 22 48 9
18 28 28 49 23 24 29 27 43 4  32 13 44 50 30 26 27
38 3  12 51 2  15 19 7  34 10 42 52 52 6  47 17 18
38 5  41 2  22 25 20 26 42 28 47 8  1  22 53 35 21
49 34 47 29 36 10 15 40 54 28 55 56 41 54 2  21 47
16 32 20 54 35 31 14 3  44 12 9  33 45 20 30 53 41
7  19 28 50 21 34 7  16 43 31 11 23 32 53 9  42 47
35 3  29 48 32 51 15 2  49 40 22 38 43 36 48 54 38
13 10 25 5  19 31 4  12 26 52 35 30 2  7  44 27 24
9  32 22 41 37 20 35 29 35 46 4  20 9  48 1  28 2
48 12 10 11 10 41 5  29 46 20 16 23 22 51 29 29 17
5  25 48 43 20 19 10 35 47 14 6  41 27 47 37 26 39
5  17 50 30 14 33 7  37 46 57 20 2  58 24 6  44 19
57 29 5  6  32 33 27 53 57 16 14 20 40 22 18 43 7
17 38 35 19 1  2  54 42 45 10 23 2  4  37 56 23 24
49 12 1  43 4  45 11 7  44 15 17 2  1  25 5  28 21
